d,h,od,dit,prd
4,19,StGermainLay-PontNeuilly,18.5,2
4,19,StGermainLay-PtAuteuil,37.8,2
4,19,Versailles-Cht-PtAuteuil,30.8,2
4,19,Versailles-Cht-PtChatillon,44.0,2
4,20,PontNeuilly-StGermainLay,23.8,-1
4,20,PtAuteuil-StGermainLay,30.8,-1
4,20,PtAuteuil-Versailles-Cht,31.5,-1
4,20,PtChatillon-Versailles-Cht,33.8,-1
4,20,StGermainLay-PontNeuilly,17.5,-1
4,20,StGermainLay-PtAuteuil,31.2,-1
4,20,Versailles-Cht-PtAuteuil,27.0,-1
4,20,Versailles-Cht-PtChatillon,33.2,-1
4,21,PontNeuilly-StGermainLay,19.5,-1
4,21,PtAuteuil-StGermainLay,26.5,-1
4,21,PtAuteuil-Versailles-Cht,27.2,-1
4,21,PtChatillon-Versailles-Cht,30.5,-1
4,21,StGermainLay-PontNeuilly,17.5,-1
4,21,StGermainLay-PtAuteuil,29.5,-1
4,21,Versailles-Cht-PtAuteuil,25.2,-1
4,21,Versailles-Cht-PtChatillon,30.5,-1
5,6,PontNeuilly-StGermainLay,19.8,0
5,6,PtAuteuil-StGermainLay,26.0,0
5,6,PtAuteuil-Versailles-Cht,26.5,0
5,6,PtChatillon-Versailles-Cht,31.0,0
5,6,StGermainLay-PontNeuilly,19.0,0
5,6,StGermainLay-PtAuteuil,35.8,0
5,6,Versailles-Cht-PtAuteuil,27.2,0
5,6,Versailles-Cht-PtChatillon,32.8,0
5,7,PontNeuilly-StGermainLay,25.2,0
5,7,PtAuteuil-StGermainLay,31.8,0
5,7,PtAuteuil-Versailles-Cht,30.8,0
5,7,PtChatillon-Versailles-Cht,36.5,0
5,7,StGermainLay-PontNeuilly,29.8,0
5,7,StGermainLay-PtAuteuil,51.8,0
5,7,Versailles-Cht-PtAuteuil,37.5,0
5,7,Versailles-Cht-PtChatillon,49.0,0
5,8,PontNeuilly-StGermainLay,28.0,0
5,8,PtAuteuil-StGermainLay,42.8,0
5,8,PtAuteuil-Versailles-Cht,40.8,0
5,8,PtChatillon-Versailles-Cht,53.0,0
5,8,StGermainLay-PontNeuilly,34.8,0
5,8,StGermainLay-PtAuteuil,52.8,0
5,8,Versailles-Cht-PtAuteuil,44.2,0
5,8,Versailles-Cht-PtChatillon,51.5,0
5,9,PontNeuilly-StGermainLay,27.2,0
5,9,PtAuteuil-StGermainLay,42.5,0
5,9,PtAuteuil-Versailles-Cht,41.5,0
5,9,PtChatillon-Versailles-Cht,48.0,0
5,9,StGermainLay-PontNeuilly,29.2,0
5,9,StGermainLay-PtAuteuil,52.2,0
5,9,Versailles-Cht-PtAuteuil,39.8,0
5,9,Versailles-Cht-PtChatillon,54.5,0
5,10,PontNeuilly-StGermainLay,26.8,1
5,10,PtAuteuil-StGermainLay,47.8,1
5,10,PtAuteuil-Versailles-Cht,35.2,1
5,10,PtChatillon-Versailles-Cht,46.2,1
5,10,StGermainLay-PontNeuilly,25.8,1
5,10,StGermainLay-PtAuteuil,50.5,1
5,10,Versailles-Cht-PtAuteuil,38.8,1
5,10,Versailles-Cht-PtChatillon,56.0,1
5,11,PontNeuilly-StGermainLay,27.2,1
5,11,PtAuteuil-StGermainLay,35.0,1
5,11,PtAuteuil-Versailles-Cht,34.8,1
5,11,PtChatillon-Versailles-Cht,39.5,1
5,11,StGermainLay-PontNeuilly,26.2,1
5,11,StGermainLay-PtAuteuil,48.8,1
5,11,Versailles-Cht-PtAuteuil,37.5,1
5,11,Versailles-Cht-PtChatillon,48.5,1
5,12,PontNeuilly-StGermainLay,25.5,1
5,12,PtAuteuil-StGermainLay,38.8,1
5,12,PtAuteuil-Versailles-Cht,35.8,1
5,12,PtChatillon-Versailles-Cht,38.0,1
5,12,StGermainLay-PontNeuilly,19.8,1
5,12,StGermainLay-PtAuteuil,38.2,1
5,12,Versailles-Cht-PtAuteuil,34.2,1
5,12,Versailles-Cht-PtChatillon,44.2,1
5,13,PontNeuilly-StGermainLay,23.5,1
5,13,PtAuteuil-StGermainLay,35.5,1
5,13,PtAuteuil-Versailles-Cht,37.8,1
5,13,PtChatillon-Versailles-Cht,38.2,1
5,13,StGermainLay-PontNeuilly,19.0,1
5,13,StGermainLay-PtAuteuil,34.8,1
5,13,Versailles-Cht-PtAuteuil,32.0,1
5,13,Versailles-Cht-PtChatillon,43.8,1
5,14,PontNeuilly-StGermainLay,24.5,1
5,14,PtAuteuil-StGermainLay,36.2,1
5,14,PtAuteuil-Versailles-Cht,36.0,1
5,14,PtChatillon-Versailles-Cht,38.2,1
5,14,StGermainLay-PontNeuilly,18.8,1
5,14,StGermainLay-PtAuteuil,35.5,1
5,14,Versailles-Cht-PtAuteuil,31.0,1
5,14,Versailles-Cht-PtChatillon,44.8,1
5,15,PontNeuilly-StGermainLay,24.2,1
5,15,PtAuteuil-StGermainLay,37.0,1
5,15,PtAuteuil-Versailles-Cht,37.2,1
5,15,PtChatillon-Versailles-Cht,41.0,1
5,15,StGermainLay-PontNeuilly,19.2,1
5,15,StGermainLay-PtAuteuil,34.5,1
5,15,Versailles-Cht-PtAuteuil,31.2,1
5,15,Versailles-Cht-PtChatillon,45.2,1
5,16,PontNeuilly-StGermainLay,31.8,2
5,16,PtAuteuil-StGermainLay,45.2,2
5,16,PtAuteuil-Versailles-Cht,40.0,2
5,16,PtChatillon-Versailles-Cht,42.2,2
5,16,StGermainLay-PontNeuilly,19.8,2
5,16,StGermainLay-PtAuteuil,35.8,2
5,16,Versailles-Cht-PtAuteuil,32.2,2
5,16,Versailles-Cht-PtChatillon,50.8,2
5,17,PontNeuilly-StGermainLay,38.0,2
5,17,PtAuteuil-StGermainLay,57.0,2
5,17,PtAuteuil-Versailles-Cht,44.0,2
5,17,PtChatillon-Versailles-Cht,47.0,2
5,17,StGermainLay-PontNeuilly,20.8,2
5,17,StGermainLay-PtAuteuil,38.2,2
5,17,Versailles-Cht-PtAuteuil,34.5,2
5,17,Versailles-Cht-PtChatillon,57.5,2
5,18,PontNeuilly-StGermainLay,36.5,2
5,18,PtAuteuil-StGermainLay,53.8,2
5,18,PtAuteuil-Versailles-Cht,47.8,2
5,18,PtChatillon-Versailles-Cht,50.5,2
5,18,StGermainLay-PontNeuilly,20.0,2
5,18,StGermainLay-PtAuteuil,41.2,2
5,18,Versailles-Cht-PtAuteuil,34.8,2
5,18,Versailles-Cht-PtChatillon,54.8,2
5,19,PontNeuilly-StGermainLay,35.0,2
5,19,PtAuteuil-StGermainLay,47.5,2
5,19,PtAuteuil-Versailles-Cht,41.8,2
5,19,PtChatillon-Versailles-Cht,42.0,2
5,19,StGermainLay-PontNeuilly,18.8,2
5,19,StGermainLay-PtAuteuil,35.5,2
5,19,Versailles-Cht-PtAuteuil,31.5,2
5,19,Versailles-Cht-PtChatillon,46.0,2
5,20,PontNeuilly-StGermainLay,23.2,-1
5,20,PtAuteuil-StGermainLay,32.2,-1
5,20,PtAuteuil-Versailles-Cht,32.5,-1
5,20,PtChatillon-Versailles-Cht,33.8,-1
5,20,StGermainLay-PontNeuilly,17.8,-1
5,20,StGermainLay-PtAuteuil,31.8,-1
5,20,Versailles-Cht-PtAuteuil,27.8,-1
5,20,Versailles-Cht-PtChatillon,34.0,-1
5,21,PontNeuilly-StGermainLay,19.2,-1
5,21,PtAuteuil-StGermainLay,26.5,-1
5,21,PtAuteuil-Versailles-Cht,27.5,-1
5,21,PtChatillon-Versailles-Cht,31.0,-1
5,21,StGermainLay-PontNeuilly,17.0,-1
5,21,StGermainLay-PtAuteuil,29.8,-1
5,21,Versailles-Cht-PtAuteuil,25.2,-1
5,21,Versailles-Cht-PtChatillon,31.2,-1
6,6,PontNeuilly-StGermainLay,20.2,0
6,6,PtAuteuil-StGermainLay,30.5,0
6,6,PtAuteuil-Versailles-Cht,27.8,0
6,6,PtChatillon-Versailles-Cht,36.0,0
6,6,StGermainLay-PontNeuilly,21.0,0
6,6,StGermainLay-PtAuteuil,35.5,0
